DOY	Hourminute	T_air [C]	RH
183	0	25.64	47.01
183	10	25.3	48.37
183	20	25.1	47.63
183	30	25.11	50.81
183	40	25.31	47.29
183	50	25.31	44.51
183	100	25.99	37.53
183	110	25.85	39.23
183	120	25.45	41.87
183	130	25.38	40.99
183	140	25.58	39.97
183	150	25.45	39.5
183	200	25.24	45.39
183	210	25.18	39.09
183	220	25.24	40.04
183	230	24.98	43.09
183	240	24.77	43.84
183	250	25.11	44.11
183	300	24.84	44.11
183	310	24.91	46.34
183	320	24.91	45.47
183	330	24.64	50.88
183	340	24.64	48.85
183	350	24.03	51.7
183	400	24.1	52.85
183	410	24.17	50.35
183	420	24.04	51.91
183	430	23.9	55.9
183	440	23.49	55.77
183	450	23.02	57.46
183	500	23.15	54.21
183	510	23.02	54.96
183	520	22.95	59.09
183	530	22.75	59.22
183	540	22.48	60.04
183	550	22.41	61.12
183	600	22.34	62.82
183	610	22.21	63.29
183	620	22.27	63.97
183	630	22.14	63.9
183	640	22.14	65.05
183	650	22.07	68.98
183	700	22.88	63.7
183	710	23.76	60.65
183	720	23.15	63.56
183	730	23.22	60.04
183	740	24.24	60.04
183	750	24.65	55.5
183	800	24.58	57.32
183	810	24.23	57.73
183	820	24.7	58.33
183	830	25.45	53.05
183	840	25.71	52.5
183	850	26.25	51.96
183	900	26.51	50.32
183	910	26.5	51.54
183	920	27.04	48.62
183	930	26.42	49.77
183	940	27.36	47.53
183	950	27.83	47.52
183	1000	27.69	46.64
183	1010	28.63	42.64
183	1020	28.43	46.9
183	1030	28.49	45.69
183	1040	28.43	44.74
183	1050	28.83	43.45
183	1100	29.37	37.29
183	1110	29.17	38.31
183	1120	29.5	35.53
183	1130	29.63	37.62
183	1140	29.96	34.1
183	1150	30.5	33.76
183	1200	30.97	33.08
183	1210	30.96	31.32
183	1220	31.23	32.81
183	1230	31.02	33.14
183	1240	30.95	30.71
183	1250	31.49	29.96
183	1300	32.24	29.62
183	1310	31.96	32.47
183	1320	31.56	28.14
183	1330	31.89	29.35
183	1340	32.02	29.01
183	1350	32.02	31.58
183	1400	32.15	29.69
183	1410	31.88	28.81
183	1420	32.09	26.58
183	1430	32.56	26.37
183	1440	32.09	27.39
183	1450	32.09	26.85
183	1500	32.23	28.2
183	1510	32.5	28.2
183	1520	32.03	26.04
183	1530	32.37	26.65
183	1540	32.17	25.97
183	1550	32.1	27.12
183	1600	31.69	28.47
183	1610	31.69	28.75
183	1620	31.56	27.39
183	1630	31.69	27.8
183	1640	31.49	29.08
183	1650	31.22	28.75
183	1700	31.22	27.53
183	1710	31.09	28.54
183	1720	31.22	27.87
183	1730	30.88	28.95
183	1740	30.55	29.22
183	1750	30.42	30.51
183	1800	29.89	30.65
183	1810	29.75	30.78
183	1820	29.21	31.6
183	1830	29.08	32.41
183	1840	28.61	32.62
183	1850	28.28	34.79
183	1900	27.88	34.18
183	1910	27.82	35.46
183	1920	27.41	35.19
183	1930	27.35	34.05
183	1940	27.22	36.01
183	1950	26.95	36.28
183	2000	26.82	36.63
183	2010	26.62	39.34
183	2020	26.42	39.06
183	2030	26.36	39.68
183	2040	26.02	40.43
183	2050	25.95	41.64
183	2100	25.96	40.83
183	2110	25.68	41.71
183	2120	25.28	42.93
183	2130	25.22	42.8
183	2140	24.96	43.76
183	2150	24.69	45.45
183	2200	24.55	42.54
183	2210	24.55	42.74
183	2220	24.35	42.88
183	2230	24.35	42
183	2240	24.16	42.34
183	2250	24.02	42.27
183	2300	23.48	48.58
183	2310	23.08	46.34
183	2320	23.01	45.12
183	2330	22.33	51.22
183	2340	22.27	46.96
183	2350	22.54	47.23
184	0	22.61	45.67
184	10	22.68	48.11
184	20	22.54	45.54
184	30	22.75	43.64
184	40	22.48	50.08
184	50	21.93	47.77
184	100	21.93	48.92
184	110	22	49.13
184	120	22.54	48.79
184	130	22.27	51.02
184	140	22.07	50.21
184	150	22.21	51.23
184	200	22.48	49.33
184	210	22.54	49.26
184	220	22.61	48.99
184	230	22.61	48.72
184	240	22.54	49.26
184	250	22.54	49.13
184	300	22.54	49.53
184	310	22.41	49.94
184	320	22.54	49.81
184	330	22.54	50.28
184	340	22.34	52.45
184	350	22.07	53.26
184	400	21.93	54.62
184	410	21.8	54.21
184	420	21.93	54.48
184	430	22	55.36
184	440	21.93	55.02
184	450	21.87	55.7
184	500	21.8	56.58
184	510	21.53	57.46
184	520	21.53	57.67
184	530	21.66	56.45
184	540	21.67	54.96
184	550	21.73	56.31
184	600	21.19	58.69
184	610	21.54	56.45
184	620	21.8	53.81
184	630	22.21	54.69
184	640	22.28	53.26
184	650	22.55	51.77
184	700	23.36	48.65
184	710	23.9	49.33
184	720	23.7	47.5
184	730	24.17	46.21
184	740	24.98	43.57
184	750	25.32	43.57
184	800	25.46	41.88
184	810	25.86	41.94
184	820	26.13	42.28
184	830	26.46	39.43
184	840	26.72	39.29
184	850	27.19	37.59
184	900	27.93	36.57
184	910	27.58	36.97
184	920	27.65	38.19
184	930	27.91	35.62
184	940	27.98	37.03
184	950	28.17	36.08
184	1000	28.5	35.81
184	1010	28.9	34.72
184	1020	28.7	34.59
184	1030	29.04	35.8
184	1040	29.44	32.28
184	1050	29.37	32.42
184	1100	29.43	31.94
184	1110	29.83	32.95
184	1120	29.96	31.33
184	1130	30.23	30.51
184	1140	30.5	29.23
184	1150	30.84	29.57
184	1200	30.77	29.97
184	1210	31.11	27.67
184	1220	31.71	26.72
184	1230	31.57	26.86
184	1240	31.9	25.64
184	1250	32.51	24.15
184	1300	32.91	25.09
184	1310	30.95	27.87
184	1320	30.88	26.99
184	1330	31.83	26.31
184	1340	32.57	26.11
184	1350	31.83	23.47
184	1400	31.49	24.48
184	1410	31.69	26.18
184	1420	31.96	24.28
184	1430	32.78	25.09
184	1440	32.71	22.05
184	1450	32.71	22.18
184	1500	32.71	21.91
184	1510	32.84	22.59
184	1520	33.18	21.37
184	1530	32.57	22.59
184	1540	32.16	23.33
184	1550	32.36	23.06
184	1600	32.3	22.86
184	1610	32.3	23.06
184	1620	32.71	21.37
184	1630	32.31	20.97
184	1640	32.45	19.08
184	1650	32.39	20.5
184	1700	32.11	20.09
184	1710	32.1	19.01
184	1720	31.56	20.22
184	1730	31.22	19.01
184	1740	31.29	19.68
184	1750	30.82	21.78
184	1800	30.07	20.16
184	1810	29.46	23.47
184	1820	29.67	21.04
184	1830	29.21	21.65
184	1840	28.8	21.24
184	1850	28.61	23.61
184	1900	28.42	23.41
184	1910	28.42	21.32
184	1920	28.49	23.35
184	1930	28.02	22.4
184	1940	27.82	22.61
184	1950	27.9	23.35
184	2000	27.56	23.9
184	2010	27.16	24.03
184	2020	26.96	24.64
184	2030	26.62	25.8
184	2040	26.43	26.68
184	2050	26.09	27.09
184	2100	25.82	28.03
184	2110	25.68	28.1
184	2120	25.35	29.12
184	2130	24.95	30.07
184	2140	24.55	33.39
184	2150	24.49	29.87
184	2200	24.22	32.04
184	2210	24.29	29.74
184	2220	23.61	34.35
184	2230	22.87	38.89
184	2240	22.47	39.43
184	2250	22.2	41.26
184	2300	22.2	44.86
184	2310	22.14	39.5
184	2320	22.21	42.15
184	2330	21.93	37.61
184	2340	22.07	41.06
184	2350	22.41	33.34
185	0	22.54	37.4
