#Time 	 LWUp 	 SWDown 	 LWDown 	 Latent 	 Sensible 	 G 
0	-361.3	1.2	298.9	-107.0	131.1	37.1
300	-360.2	1.2	298.9	-103.8	133.9	29.9
900	-358.8	1.2	298.9	-99.7	137.3	21.1
2100	-357.8	1.2	298.9	-95.4	139.9	13.1
4500	-357.3	1.0	295.7	-84.2	130.9	13.9
8100	-355.0	0.0	294.2	-57.9	97.2	21.5
11700	-352.5	0.0	295.3	-49.7	86.9	20.0
15300	-354.7	0.0	294.9	-70.0	129.2	0.6
18900	-354.0	0.0	293.9	-52.5	99.4	13.2
22500	-351.3	1.0	290.2	-33.9	67.8	26.2
26100	-349.6	18.9	289.5	-17.1	36.2	22.2
29700	-363.6	127.7	299.3	-13.6	15.6	-65.4
33300	-389.1	251.0	317.3	-53.0	22.3	-148.5
36900	-419.5	386.6	332.2	-95.6	-0.3	-203.4
40500	-442.2	483.6	332.4	-156.8	-22.6	-194.5
44100	-454.3	499.2	330.7	-185.2	-31.4	-159.0
47700	-458.1	501.8	336.4	-215.0	-46.0	-119.2
51300	-476.5	635.8	342.7	-243.7	-74.5	-183.8
54900	-483.3	579.2	347.1	-223.5	-81.0	-138.5
58500	-482.1	491.5	349.9	-185.9	-75.5	-98.0
