#hour	Tair[°C]	Prec[mm]	RH[%]	windSpeed[m/s]	windDir(°)	globRad[W/m2]
0	19.2	0	28	4.8	210	1.5
1	17.1	0	36	5.5	203	1.2
2	16.2	0	40	4.3	221	0
3	17.4	0	34	3.2	212	0
4	16.8	0	37	5.3	206	0
5	16.0	0	41	4.4	205	0
6	14.7	0	46	3.3	202	1.2
7	14.2	0	49	1.8	230	23.6
8	15.3	0	52	1	308	159.6
9	17.9	0	52	2.4	321	313.8
10	20.1	0	51	2.4	341	483.3
11	21.1	0	44	2.6	336	604.5
12	22.0	0	37	2.6	52	624
13	22.6	0	38	3.8	72	627.3
14	24.0	0	35	4.4	61	794.8
15	25.2	0	32	4.9	60	724
16	26.0	0	30	5.6	59	614.4
17	25.9	0	26	5.1	65	455
18	25.3	0	24	4.3	84	371.6
19	23.8	0	30	3.6	95	178
20	21.0	0	43	1.9	121	32.3
21	19.0	0	48	2.7	148	2.8
22	18.3	0	46	2.8	190	1.8
23	18.0	0	43	4.2	205	1.1
0	19.4	0	36	3.4	214	0
1	18.2	0	40	3.3	215	0
2	16.5	0	49	2.6	220	0
3	16.0	0	52	1.5	251	0
4	15.2	0	56	2.2	217	0
5	14.0	0	64	2.3	221	0
6	13.4	0	73	1.9	235	1.1
7	13.7	0	75	1.6	203	23.8
8	15.8	0	70	1.1	331	152
9	19.7	0	59	2	351	286.3
10	21.4	0	51	2.3	343	409.8
11	21.6	0	53	2.7	356	581.3
12	22.7	0	52	3.3	39	722.3
13	23.8	0	47	2.7	28	780.9
14	24.5	0	43	2.6	76	702.1
15	23.8	0	42	2.1	84	343.4
16	25.5	0	35	2.3	259	502.5
17	24.4	0	37	3.1	214	149.6
18	22.4	1.2	50	2.2	303	67.7
19	20.8	0.2	55	5.2	247	28.1
20	18.3	0	71	4.1	231	13.2
21	16.8	0	78	4.2	220	2.4
22	16.7	0	77	4.7	235	0
23	16.8	0	70	5.8	203	0
0	16.8	0	66	5.4	218	0
1	16.6	0.2	65	4.9	214	0
2	16.0	0	68	3.7	207	0
3	16.1	0	66	4.1	212	0
4	16.1	0	65	4.2	220	0
5	15.9	0	67	3.7	222	0
6	15.7	0	67	1.3	225	1.2
7	15.3	0	66	2.9	236	17.5
8	15.2	0	70	1.4	299	101.1
9	17.4	0	63	1.7	300	272.2
10	19.1	0	59	1.8	268	364
11	19.9	0	55	2.5	282	502.3
12	20.4	0	49	2.7	334	849
13	22.7	0.4	44	2.7	312	724.7
14	23.5	0	40	2	277	700.9
15	24.2	0	38	1.9	329	759
16	24.0	0	37	3.8	155	527.2
17	24.5	0	34	3.5	132	488
18	19.6	6.6	46	2.8	205	108.3
19	17.7	2.6	54	5.9	199	33
20	16.4	0.2	65	4.9	199	25.1
21	16.3	0	64	5	199	1.8
22	16.4	0	67	4.8	201	0
23	16.4	0	66	3.6	206	0
0	16.6	0	62	2.6	207	0
1	16.6	0	60	1.7	213	0
2	15.5	0	62	2.7	216	0
3	13.8	0	70	0.6	227	0
4	13.4	0	71	0.9	97	0
5	14.4	0	66	1.7	205	0
6	15.0	0	64	1	67	0
7	14.6	0	70	1.7	100	14.2
8	14.3	0	78	2	51	76.7
9	15.5	0	78	3.2	66	122
10	16.1	0	80	3.1	70	200.7
11	17.1	0	71	3.5	61	256.5
12	18.3	0.4	67	1.5	47	358.7
13	18.5	0.2	65	1.1	3	377.8
14	17.5	0.2	70	2.3	0	180.3
15	17.1	0.2	81	4.4	13	255.9
16	17.9	0	79	0.6	69	357.4
17	15.3	2.4	83	2.4	218	71.2
18	14.3	0.2	94	2.1	206	104.8
19	14.9	0	93	1.6	212	88.5
20	14.2	6	93	0.9	284	10.1
21	13.9	0.6	96	2	347	1.4
22	14.0	0.2	98	1.1	313	0
23	14.2	0.4	99	1.8	286	0
0	14.2	0.4	100	2.8	331	0
1	14.1	0	100	2.2	318	0
2	14.1	3.2	101	2.6	272	0
3	13.7	1	101	3.8	296	0
4	13.6	0.2	101	3.2	335	0
5	13.5	0.6	101	3.1	342	0
6	13.6	3.2	101	3.1	310	0
7	13.5	1.8	101	3.1	301	5.6
8	13.3	2.6	101	3	283	12.6
9	13.3	2.8	101	2.1	277	40.9
10	13.6	0.2	101	2.4	275	80
11	14.0	1.2	101	2.1	244	118.6
12	14.5	0.2	101	1.4	249	222.7
13	14.6	3.4	101	2.1	224	132.4
14	14.8	3.4	101	2.4	214	166.8
15	14.9	3.4	100	1.6	227	120.7
16	14.5	0.6	99	0.6	40	87.9
17	15.1	0.2	95	1.2	31	195
18	17.3	0	85	1	21	281.1
19	17.2	0	83	1	339	139.3
20	16.3	0	88	0.6	351	29.9
21	15.2	0	94	0.8	302	2.6
22	14.2	0	97	1.2	255	0
23	14.4	0	99	0.3	344	0
0	14.6	0	99	0.6	268	0
1	14.4	0	100	0.5	305	0
2	14.5	0	100	1.2	292	0
3	14.2	0.6	101	1	258	0
4	14.2	0	101	1.2	250	0
5	14.1	0.4	101	0.9	332	0
6	13.9	0	101	0.4	356	1.1
7	13.8	0	101	0.6	12	6.2
8	14.0	0	101	0.4	23	37.8
9	14.6	0	101	1.1	9	97.6
10	14.8	0.4	101	0.2	344	80.7
11	14.7	1.6	101	1.7	301	171.7
12	16.2	0	98	1.9	295	334.7
13	16.6	0	91	2.3	357	458.1
14	18.3	0	83	1.9	341	657.5
15	19.7	0	75	2.4	45	647.2
16	19	0	79	3.6	74	439.6
17	19.4	0	78	4.4	77	361.8
18	19.3	0	77	4	79	268.1
19	18.3	0	77	4.4	71	143.3
20	17.0	0	78	3.8	84	44.8
21	16.0	0	88	2.8	81	2.9
22	15.5	0	94	1.9	75	0
23	15.0	0	96	1.5	146	0
0	14.6	0	98	1.3	153	0
1	14.3	0	100	2.2	209	0
2	14.0	0	100	2.1	226	0
3	13.7	1.4	101	4.9	252	0
4	13.1	0	101	4.5	317	0
5	13.0	1.4	100	2.7	30	0
6	11.3	0	99	3.5	6	1.1
7	10.7	0	95	3.1	352	5.1
8	10.4	0	96	2.5	346	18
9	10.3	0.8	98	2.3	345	30.8
10	10.3	0.6	99	1.9	30	69.2
11	10.6	0	100	2.7	11	173.6
12	11.1	0.2	101	2.7	27	241.8
13	11.7	0	100	3.1	34	309.3
14	11.7	0.6	100	2.9	353	225.2
15	11.7	0.2	100	3.2	34	154.3
16	11.5	0	99	2.7	51	101.8
17	11.4	0	99	2.2	55	66.3
18	11.2	0	99	1.9	65	31.4
