date hour,10cm,25cm,70cm,135cm
15-07-07 06.00,20.3,20.4,19.8,18
15-07-07 07.00,20.3,20.5,19.8,18.1
15-07-07 08.00,20.3,20.4,19.7,18
15-07-07 09.00,20.4,20.3,19.7,18
15-07-07 10.00,20.5,20.2,19.7,18.1
15-07-07 11.00,20.8,20.2,19.7,18
15-07-07 12.00,20.9,20.2,19.8,18
15-07-07 13.00,21.2,20.2,19.8,18
15-07-07 14.00,21.4,20.2,19.8,18
15-07-07 15.00,21.5,20.2,19.8,18.1
15-07-07 16.00,21.6,20.3,19.8,18
15-07-07 17.00,21.8,20.3,19.9,18
15-07-07 18.00,21.8,20.5,19.9,18.1
15-07-07 19.00,21.7,20.6,19.9,18.1
15-07-07 20.00,21.7,20.6,19.9,18.1
15-07-07 21.00,21.8,20.7,19.9,18.1
16-07-07 07.00,20.6,20.7,19.9,18.1
16-07-07 08.00,20.6,20.8,19.8,18.1
16-07-07 09.00,20.6,20.6,19.9,18.1
16-07-07 10.00,20.7,20.5,19.9,18.1
16-07-07 11.00,20.9,20.4,19.9,18
16-07-07 12.00,21.2,20.4,19.9,18.1
16-07-07 13.00,21.5,20.4,19.9,18.1
16-07-07 14.00,21.8,20.4,19.9,18.1
16-07-07 15.00,21.8,20.4,19.9,18.1
16-07-07 16.00,22,20.6,19.9,18.1
16-07-07 17.00,22.1,20.6,19.9,18.1
16-07-07 18.00,22.1,20.6,20,18
16-07-07 19.00,22.2,20.8,20,18.1
16-07-07 20.00,22.2,20.9,19.9,18.1
16-07-07 21.00,22.1,20.9,20,18.1
17-07-07 06.00,20.9,21,20,18.1
17-07-07 07.00,20.8,21,19.9,18.1
17-07-07 08.00,20.8,20.9,19.9,18.1
17-07-07 09.00,20.9,20.8,20,18.1
17-07-07 10.00,21.1,20.7,20,18.1
17-07-07 11.00,21.3,20.7,20,18
17-07-07 12.00,21.4,20.7,19.9,18.1
17-07-07 13.00,21.8,20.6,20,18.1
17-07-07 14.00,22,20.7,20,18.1
17-07-07 15.00,22.1,20.7,20,18.1
17-07-07 16.00,22.2,20.8,20,18.2
17-07-07 17.00,22.3,20.8,20,18.1
17-07-07 18.00,22.4,21,20.1,18.1
17-07-07 19.00,22.5,21,20.1,18.1
17-07-07 20.00,22.4,21.1,20.1,18.1
17-07-07 21.00,22.4,21.2,20.1,18.2
18-07-07 06.00,21.3,21.3,20.1,18.1
18-07-07 07.00,21.3,21.3,20.1,18.1
18-07-07 08.00,21.3,21.2,20.1,18.2
18-07-07 09.00,21.3,21.1,20.1,18.2
18-07-07 10.00,21.5,21.1,20.1,18.2
18-07-07 11.00,21.7,21,20.1,18.1
18-07-07 12.00,21.9,21,20.1,18.1
18-07-07 13.00,22.2,20.9,20.1,18.1
18-07-07 14.00,22.5,21,20.2,18.1
18-07-07 15.00,22.6,21.1,20.2,18.2
18-07-07 16.00,22.8,21.2,20.2,18.2
18-07-07 17.00,22.8,21.2,20.2,18.2
18-07-07 18.00,22.9,21.3,20.3,18.2
18-07-07 19.00,22.9,21.4,20.3,18.1
18-07-07 20.00,22.9,21.4,20.3,18.2
18-07-07 21.00,22.7,21.5,20.2,18.2
19-07-07 06.00,21.7,21.6,20.3,18.1
19-07-07 07.00,21.7,21.6,20.3,18.2
19-07-07 08.00,21.6,21.5,20.3,18.2
19-07-07 09.00,21.7,21.4,20.3,18.2
19-07-07 10.00,21.8,21.4,20.3,18.1
19-07-07 11.00,22,21.3,20.3,18.2
19-07-07 12.00,22.3,21.3,20.3,18.2
19-07-07 13.00,22.5,21.2,20.3,18.1
19-07-07 14.00,22.8,21.3,20.3,18.1
19-07-07 15.00,22.9,21.4,20.3,18.2
19-07-07 16.00,23,21.4,20.3,18.2
19-07-07 17.00,23,21.5,20.4,18.2
19-07-07 18.00,23.1,21.7,20.4,18.2
19-07-07 19.00,23.1,21.7,20.4,18.2
19-07-07 20.00,23.1,21.7,20.4,18.2
20-07-07 06.00,21.8,21.8,20.4,18.2
20-07-07 07.00,21.8,21.9,20.4,18.3
20-07-07 08.00,21.7,21.7,20.4,18.2
20-07-07 09.00,21.7,21.6,20.4,18.3
20-07-07 10.00,21.8,21.6,20.5,18.2
20-07-07 11.00,22,21.5,20.4,18.2
20-07-07 12.00,22.4,21.5,20.4,18.2
20-07-07 13.00,22.6,21.4,20.4,18.2
20-07-07 14.00,22.9,21.5,20.4,18.2
20-07-07 15.00,23,21.5,20.5,18.2
20-07-07 16.00,23.2,21.6,20.5,18.2
20-07-07 17.00,23.1,21.6,20.5,18.2
20-07-07 18.00,23.2,21.7,20.6,18.3
20-07-07 19.00,23.2,21.8,20.6,18.2
20-07-07 20.00,23.2,21.9,20.5,18.2
20-07-07 21.00,23.1,21.9,20.5,18.2
21-07-07 07.00,21.8,22,20.5,18.2
21-07-07 08.00,21.9,22,20.6,18.3
21-07-07 09.00,21.9,21.7,20.6,18.3
21-07-07 10.00,21.9,21.7,20.6,18.3
21-07-07 11.00,22.2,21.6,20.6,18.3
21-07-07 12.00,22.6,21.6,20.6,18.3
21-07-07 13.00,22.8,21.6,20.6,18.2
21-07-07 14.00,23,21.6,20.6,18.2
21-07-07 15.00,23.2,21.7,20.6,18.3
21-07-07 16.00,23.2,21.7,20.7,18.3
21-07-07 17.00,23.2,21.8,20.6,18.2
21-07-07 18.00,23.3,21.9,20.7,18.3
21-07-07 19.00,23.3,21.9,20.7,18.3
21-07-07 20.00,23.2,22,20.7,18.3
21-07-07 21.00,23.1,22.1,20.7,18.3
22-07-07 06.00,21.9,22.1,20.7,18.4
22-07-07 07.00,21.9,22.1,20.7,18.3
22-07-07 08.00,21.9,21.9,20.7,18.4
22-07-07 09.00,21.9,21.8,20.7,18.3
22-07-07 10.00,22.1,21.8,20.7,18.3
22-07-07 11.00,22.3,21.7,20.7,18.3
22-07-07 12.00,22.6,21.6,20.7,18.3
22-07-07 13.00,22.8,21.7,20.7,18.4
22-07-07 14.00,23,21.6,20.8,18.4
22-07-07 15.00,23.1,21.7,20.7,18.3
22-07-07 16.00,23.3,21.8,20.8,18.3
